total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.2

[0.057555301443969836, 0.057555301443969836, 0.08773660721435866, 0.16315433017664135, 0.11137694417081691, 0.3064332629633246, 0.11534875362654355, 0.21334192976352004, 0.16548364006267244]
[0.07798392506415185, 0.07798392506415185, 0.09544455552734593, 0.17093356833217435, 0.11798216966291278, 0.31538228054515133, 0.12134172628181976, 0.21731495971054265, 0.16630038869986302]
[-0.0269611451632099, -0.0269611451632099, 0.058216818661168984, 0.11418213605127367, 0.06704893242236544, 0.29568646521185105, 0.09215858797632986, 0.19829043626659862, 0.1514371819866901]
[0.021225573444118212, 0.021225573444118212, 0.05914929814610285, 0.11657572018054801, 0.09854771669619082, 0.3056459037138836, 0.09389261904370691, 0.2022328362118827, 0.16589350570525527]
[0.05332568354564445, 0.05332568354564445, 0.06097950437537341, 0.11657572018054801, 0.12366955782248931, 0.3099710658292797, 0.10459265574421567, 0.2022328362118827, 0.16589350570525527]
[0.06717301699208446, 0.06717301699208446, 0.07080625382296041, 0.12644876071022768, 0.12895101202339154, 0.3135529581763638, 0.10211849632700933, 0.1990588505798493, 0.16405760551482562]
[0.08777809556525103, 0.08777809556525103, 0.07961359010754306, 0.13716462709096994, 0.13683941452764087, 0.3209383440587904, 0.10654213796201148, 0.1990588505798493, 0.1636531671824833]
[0.07068116165377009, 0.07068116165377009, 0.07829704103069882, 0.13970392600707598, 0.1262852975110526, 0.3150653728663878, 0.10444607218609417, 0.1984040386755776, 0.15881088735010254]
[0.09648315029207988, 0.09648315029207988, 0.08940904540453111, 0.15393761885530183, 0.13652658784188396, 0.323345556351693, 0.10444607218609417, 0.1984040386755776, 0.15881088735010254]
[0.04910989011845343, 0.04910989011845343, 0.08940904540453111, 0.15393761885530183, 0.1207355011173418, 0.323345556351693, 0.10444607218609417, 0.1984040386755776, 0.15881088735010254]
[0.07838479936623294, 0.07838479936623294, 0.10279434443337696, 0.17009768953783078, 0.12928978429181684, 0.3340599194684469, 0.10817544703987154, 0.19901648779011386, 0.15972663650499616]
[0.09537130262821154, 0.09537130262821154, 0.11161759453523187, 0.1778518108980983, 0.1349519520458097, 0.33972208722243974, 0.10817544703987154, 0.20467865554410672, 0.15972663650499616]
[0.1228243746127388, 0.1228243746127388, 0.11161759453523187, 0.1778518108980983, 0.15281848955308136, 0.3405523024594131, 0.11249176695303485, 0.20467865554410672, 0.15972663650499616]
[0.1349246955178598, 0.1349246955178598, 0.11851391216967558, 0.18474812853254197, 0.15685192985478835, 0.3445857427611201, 0.11249176695303485, 0.20467865554410672, 0.15972663650499616]
[0.14457281519750717, 0.14457281519750717, 0.12303874674013797, 0.19030797622840126, 0.15937380315516372, 0.3481551027146198, 0.11370484557616362, 0.20702246334675023, 0.15972663650499616]
[0.15766576965329449, 0.15766576965329449, 0.1297945554669174, 0.1977617394625195, 0.16398376702458506, 0.35227377514905667, 0.11370484557616362, 0.20702246334675023, 0.15972663650499616]
[0.1631740455206672, 0.1631740455206672, 0.13261859683334934, 0.20058578082895143, 0.16604452648391488, 0.353186096926051, 0.11484183485669684, 0.20809527339543904, 0.1596510088713495]
[0.131506000745963, 0.131506000745963, 0.12448552136982972, 0.1866319450109292, 0.15088572695157804, 0.35005243510756645, 0.10769989584243803, 0.2005140516051305, 0.15153753849460436]
[0.14718173342514967, 0.14718173342514967, 0.12520723975632966, 0.1866319450109292, 0.16278919339894324, 0.3502034511573232, 0.10889353226038873, 0.20025011785387303, 0.15522281256094986]
