total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.3

[-0.07460684970875085, -0.07460684970875085, -0.037151831987582436, -0.09352910391953775, 0.28340558938397564, 0.45775058000335234, 0.11477204055550803, 0.11053840219875584, 0.24744882160159307]
[-0.016303691367631618, -0.016303691367631618, -0.03578480307140986, -0.09352910391953775, 0.28426499604696287, 0.49966014960914107, 0.11471277393476403, 0.11053840219875584, 0.24927341609723985]
[-0.03206133199982695, -0.03206133199982695, -0.03567224960370731, -0.09352910391953775, 0.28354381135323264, 0.4935183494299312, 0.10756301561270805, 0.11179798099902989, 0.24880561313323904]
[-0.030716493681678735, -0.030716493681678735, -0.036211821834150476, -0.09352910391953775, 0.2841696116826119, 0.4986803820119028, 0.10407628390734283, 0.11179798099902989, 0.24709355127620805]
[-0.0602637062861799, -0.0602637062861799, -0.03287512165687871, -0.08984234380718593, 0.28291200313673637, 0.478508886490156, 0.09000596456031532, 0.10999065252169271, 0.24555283147666285]
[-0.08933178123882161, -0.08933178123882161, -0.03303036315303291, -0.08986093497160344, 0.2845101283166297, 0.4603677060332492, 0.07591534623745674, 0.12070790085019553, 0.23009990658669963]
[-0.051390711583215086, -0.051390711583215086, -0.03303036315303291, -0.08756483009140424, 0.2845101283166297, 0.4889337269222504, 0.07591534623745674, 0.12070790085019553, 0.23009990658669963]
[-0.03272222596281251, -0.03272222596281251, -0.03303036315303291, -0.08756483009140424, 0.2845101283166297, 0.5056722665004661, 0.07591534623745674, 0.12070790085019553, 0.23632273512683383]
[-0.00992702105637974, -0.00992702105637974, -0.03168340290627541, -0.08756483009140424, 0.2845101283166297, 0.5235890993386736, 0.07884451966454221, 0.12070790085019553, 0.23983387128425007]
[0.028234400617292706, 0.028234400617292706, -0.030651660998833437, -0.08653308818396227, 0.2845101283166297, 0.550601936970496, 0.0785835811447773, 0.1222658825769467, 0.23983387128425007]
[0.059457502474819415, 0.059457502474819415, -0.025239762388680743, -0.08533575995542578, 0.2845101283166297, 0.5744169223769268, 0.0785835811447773, 0.1222658825769467, 0.23983387128425007]
[-0.005686176525523408, -0.005686176525523408, -0.05955526122647941, -0.10863131277100299, 0.28489077242686445, 0.5321447518697924, 0.07191779518466382, 0.11393730077074443, 0.2338531476783527]
[-0.0665166651978778, -0.0665166651978778, -0.06395765510474012, -0.11291934472083452, 0.28358709791990255, 0.4977824418363676, 0.04948415144447521, 0.09947828444147348, 0.2243422916412085]
[-0.14378558552862972, -0.14378558552862972, -0.06132746305558107, -0.11151587563855477, 0.28192061913486854, 0.43763086625210446, 0.013895736791700862, 0.0675101607120329, 0.20641023758524293]
[-0.07176324424291436, -0.07176324424291436, -0.060241512707023, -0.11151587563855477, 0.28421016360993984, 0.4848809202449677, 0.025442520969451078, 0.06856448545642323, 0.21403686356300028]
[-0.12002002423442362, -0.12002002423442362, -0.06045440728700811, -0.1098621204739673, 0.28421016360993984, 0.4507124505467741, -0.0005976800430914641, 0.04065579932326667, 0.19029912546255287]
[-0.07458267295499227, -0.07458267295499227, -0.0591584263398873, -0.11010212919730623, 0.28421016360993984, 0.48359100160778384, -0.0023744448772444033, 0.04197831245804525, 0.19548251171033185]
[-0.10295619306233857, -0.10295619306233857, -0.0591584263398873, -0.11010212919730623, 0.2814238413542693, 0.47413316157200175, -0.008540452620521922, 0.0391919902023747, 0.17884764385760415]
[-0.043905895828615656, -0.043905895828615656, -0.0591584263398873, -0.10994141438078289, 0.2814238413542693, 0.5163788081143388, -0.009635002018977143, 0.04492642462888909, 0.1847315328890778]
[-0.00954402307152564, -0.00954402307152564, -0.055909977725461225, -0.10922974322769702, 0.2814238413542693, 0.5341426417729315, -0.008736297716092894, 0.04615848742120169, 0.19565485448896697]
[0.0332399231666608, 0.0332399231666608, -0.055909977725461225, -0.10761346906365915, 0.2814238413542693, 0.5624761129146792, -0.008736297716092894, 0.048632429074561626, 0.1995716904172706]
[0.06860152998414862, 0.06860152998414862, -0.05307955374686416, -0.10612179709973228, 0.2822392259390814, 0.5847691717615103, -0.008736297716092894, 0.05499376553786665, 0.20008057104398208]
[-0.046230653872160764, -0.046230653872160764, -0.10520276009745899, -0.14492609637846246, 0.28173212941312276, 0.5140075448188031, -0.022016120390526972, 0.045355871525207606, 0.19217662123800827]
[-0.024935398785949983, -0.024935398785949983, -0.10344178495343324, -0.14326182864601544, 0.2788018612634525, 0.5290859265108862, -0.015751092148446666, 0.048649805292417365, 0.19887953930513838]
[0.0018913034229610251, 0.0018913034229610251, -0.09928992493282525, -0.1412900767432892, 0.2788018612634525, 0.5517607686991892, -0.015751092148446666, 0.05759203936205437, 0.19887953930513838]
[0.03345035467801262, 0.03345035467801262, -0.09309886100140713, -0.1394732768747661, 0.2788018612634525, 0.5730712200102638, -0.012615553868569013, 0.06674834231362847, 0.20455014206521796]
[-0.011851204624313053, -0.011851204624313053, -0.09402001175102918, -0.13786591136076973, 0.2788018612634525, 0.5461902801135535, -0.025197518305266044, 0.05349149960694717, 0.20192705551328835]
[-0.0019072642106352192, -0.0019072642106352192, -0.09081266659479738, -0.13408777140867137, 0.2788018612634525, 0.5546633494520669, -0.034274512496932315, 0.07299043928034255, 0.1999485556842615]
